i	j	x	r	mach	theta	press	temp
10	32	0.244068	0.930881	1.39475	8.48282	158.286	381.552
11	32	0.257877	0.920384	1.39898	8.47428	157.346	380.903
12	32	0.272239	0.909537	1.40361	8.45927	156.323	380.194
13	32	0.28714	0.898356	1.40861	8.43839	155.225	379.429
14	32	0.302566	0.88686	1.41395	8.4123	154.059	378.612
15	32	0.318503	0.875068	1.41959	8.3816	152.832	377.749
16	32	0.334934	0.862997	1.42553	8.34686	151.551	376.841
17	32	0.351843	0.850668	1.43173	8.30862	150.223	375.895
18	32	0.369215	0.838097	1.43817	8.26731	148.852	374.912
19	32	0.387034	0.825303	1.44484	8.22329	147.444	373.895
20	32	0.405282	0.812301	1.45172	8.17685	146.002	372.846
21	32	0.423947	0.799109	1.4588	8.12817	144.53	371.768
22	32	0.443012	0.78574	1.46608	8.07731	143.029	370.661
23	32	0.462464	0.77221	1.47355	8.02428	141.502	369.526
24	32	0.48229	0.758531	1.48122	7.96897	139.948	368.362
25	32	0.502477	0.744716	1.48908	7.91119	138.369	367.17
26	32	0.523014	0.730777	1.49716	7.85065	136.763	365.947
27	32	0.543889	0.716725	1.50545	7.78701	135.131	364.694
28	32	0.565091	0.702569	1.51396	7.71983	133.47	363.408
29	32	0.58661	0.68832	1.52272	7.6486	131.78	362.087
30	32	0.608437	0.673986	1.53174	7.57276	130.058	360.729
31	32	0.6235	0.664163	1.53763	7.53061	128.944	359.843
32	32	0.645656	0.649813	1.54705	7.44696	127.181	358.43
33	32	0.661004	0.639941	1.55325	7.39858	126.029	357.5
34	32	0.676418	0.63008	1.55958	7.34744	124.863	356.552
35	32	0.691371	0.620567	1.56468	7.32951	123.932	355.79
36	32	0.70585	0.611403	1.56909	7.32867	123.129	355.13
37	32	0.72029	0.602312	1.5737	7.32302	122.296	354.442
38	32	0.734788	0.59323	1.57858	7.31137	121.421	353.715
39	32	0.749172	0.584266	1.58332	7.30356	120.573	353.008
40	32	0.763752	0.575228	1.5885	7.28603	119.654	352.237
41	32	0.778272	0.566273	1.59362	7.27111	118.752	351.477
42	32	0.792877	0.557314	1.59894	7.25199	117.82	350.686
43	32	0.807662	0.548292	1.60464	7.22458	116.829	349.841
44	32	0.822194	0.53947	1.60993	7.20824	115.916	349.058
45	32	0.834301	0.532156	1.61511	7.17256	115.028	348.292
46	32	0.849069	0.523278	1.6209	7.1454	114.042	347.436
47	32	0.861048	0.51611	1.62584	7.117	113.206	346.706
48	32	0.873334	0.50879	1.63135	7.07546	112.28	345.894
49	32	0.885423	0.501619	1.63652	7.04264	111.418	345.133
50	32	0.897396	0.494547	1.6416	7.01206	110.577	344.386
51	32	0.909617	0.487359	1.6472	6.96914	109.655	343.563
52	32	0.921832	0.480204	1.65288	6.92443	108.727	342.73
53	32	0.933576	0.473354	1.65778	6.89871	107.933	342.013
54	32	0.945564	0.466391	1.6633	6.85799	107.044	341.206
55	32	0.956426	0.460107	1.66871	6.8095	106.18	340.416
56	32	0.967143	0.453928	1.67396	6.76448	105.346	339.65
57	32	0.977425	0.448022	1.67854	6.73535	104.624	338.984
58	32	0.988983	0.441407	1.68402	6.6934	103.765	338.186
59	32	0.998863	0.435773	1.68914	6.64508	102.968	337.442
60	32	1.00919	0.429904	1.69449	6.59498	102.142	336.666
61	32	1.01902	0.424333	1.69914	6.56064	101.428	335.992
62	32	1.02818	0.419162	1.70359	6.52562	100.749	335.348
63	32	1.03732	0.414013	1.70834	6.48213	100.029	334.662
64	32	1.04633	0.408957	1.71316	6.43544	99.3039	333.967
65	32	1.05512	0.404037	1.71793	6.3882	98.5911	333.28
66	32	1.06361	0.399294	1.72252	6.34308	97.9081	332.619
67	32	1.07144	0.394935	1.72622	6.31753	97.3617	332.087
68	32	1.07919	0.390627	1.73028	6.28091	96.7647	331.504
